סמל,תחנה,מרחב,מחוז
10000000,אין נתונים,אין נתונים,אין נתונים
10001430,מרחב איילון,מרחב איילון,תל אביב
10001516,תחנת מסובים,מרחב דן,תל אביב
10001533,תחנת גבעתיים,מרחב דן,תל אביב
10001579,תחנת לב תל אביב,מרחב ירקון,תל אביב
10001605,תחנת גלילות,מרחב ירקון,תל אביב
10001627,תחנת תל אביב צפון,מרחב ירקון,תל אביב
10001695,תחנת שכונות,מרחב יפתח,תל אביב
10001805,תחנת אשקלון,מרחב לכיש,דרום
10001813,תחנת קרית גת,מרחב לכיש,דרום
10001821,תחנת קרית-מלאכי,מרחב לכיש,דרום
10001829,תחנת שדרות,מרחב לכיש,דרום
10001836,תחנת אשדוד,מרחב לכיש,דרום
10001893,תחנת אופקים,מרחב נגב,דרום
10001900,תחנת באר-שבע,מרחב נגב,דרום
10001911,תחנת ערד,מרחב נגב,דרום
10001918,תחנת דימונה,מרחב נגב,דרום
10001930,תחנת נתיבות,מרחב נגב,דרום
10001937,תחנת עיירות,מרחב נגב,דרום
10001946,תחנת רהט,מרחב נגב,דרום
10001955,מרחב אילת,מרחב אילת,דרום
10002089,תחנת נתניה,מרחב שרון,מרכז
10002116,תחנת פתח-תקווה,מרחב שרון,מרכז
10002133,תחנת כפר-סבא,מרחב שרון,מרכז
10002155,תחנת טייבה,מרחב שרון,מרכז
10002168,תחנת ראש העין,מרחב שרון,מרכז
10002207,תחנת ראשון לציון,מרחב שפלה,מרכז
10002228,תחנת רמלה,מרחב שפלה,מרכז
10002241,תחנת רחובות,מרחב שפלה,מרכז
10002261,תחנת לוד,מרחב שפלה,מרכז
10002277,תחנת מודיעין,מרחב שפלה,מרכז
10002286,"מרחב נתב""ג","מרחב נתב""ג",מרכז
10002443,תחנת שפט,מרחב קדם,ירושלים
10002475,תחנת הראל,מרחב ציון,ירושלים
10002489,תחנת לב הבירה,מרחב ציון,ירושלים
10002507,תחנת בית-שמש,מרחב ציון,ירושלים
10002521,תחנת מוריה,מרחב ציון,ירושלים
10002556,מרחב דוד,מרחב דוד,ירושלים
10003299,תחנת בנימין,מרחב שומרון,"ש""י"
10003314,תחנת מעלה אדומים,מרחב יהודה,"ש""י"
10003709,"תחנת שר""ת",מרחב יפתח,תל אביב
10004054,תחנת מודיעין עילית,מרחב שומרון,"ש""י"
10004171,תחנת חיפה,מרחב כרמל,חוף
10004207,תחנת זבולון,מרחב אשר,חוף
10004233,תחנת עירון,מרחב מנשה,חוף
10004249,תחנת אום אל פאחם,מרחב מנשה,חוף
10004261,תחנת חדרה,מרחב מנשה,חוף
10004302,תחנת נהרייה,מרחב אשר,חוף
10004315,תחנת עכו,מרחב אשר,חוף
10004333,תחנת זכרון-יעקב,מרחב מנשה,חוף
10004394,תחנת עפולה,מרחב עמקים,צפון
10004411,תחנת מגדל-העמק,מרחב עמקים,צפון
10004426,תחנת נצרת,מרחב עמקים,צפון
10004453,תחנת נוף הגליל,מרחב עמקים,צפון
10004465,תחנת כרמיאל,מרחב גליל,צפון
10004484,תחנת מעלות תרשיחא,מרחב כנרת,צפון
10004497,תחנת שפרעם,מרחב גליל,צפון
10004513,תחנת משגב,מרחב גליל,צפון
10004528,תחנת צפת,מרחב כנרת,צפון
10004540,תחנת ירדן,מרחב כנרת,צפון
10004552,תחנת טבריה,מרחב כנרת,צפון
10004568,תחנת בית-שאן,מרחב עמקים,צפון
10004579,תחנת גולן,מרחב כנרת,צפון
10004591,תחנת קרית-שמונה,מרחב כנרת,צפון
10004710,תחנת טירת-הכרמל,מרחב כרמל,חוף
10004769,תחנת טירה,מרחב שרון,מרכז
15000060,תחנת שדות,מרחב שרון,מרכז
15000586,תחנת עציון,מרחב יהודה,"ש""י"
15000597,תחנת מטה יהודה,מרחב ציון,ירושלים
15000658,תחנת כפר קאסם,מרחב שרון,מרכז
15000705,תחנת עוז,מרחב קדם,ירושלים
15000706,תחנת שלם,מרחב קדם,ירושלים
15002142,תחנת ג'סר א-זרקא,מרחב מנשה,חוף
15002143,תחנת גליל מערבי,מרחב אשר,חוף
15002211,תחנת יפו,מרחב יפתח,תל אביב
15002358,תחנת מג'ד אל-כרום,מרחב גליל,צפון
15002369,תחנת כפר כנא,מרחב עמקים,צפון
15002411,תחנת טמרה,מרחב גליל,צפון
15002436,תחנת באקה אל-ע'רביה,מרחב מנשה,חוף
15002488,תחנת יבנה,מרחב שפלה,מרכז
15003512,תחנת חברון,מרחב יהודה,"ש""י"
15003711,תחנת ערוער,מרחב נגב,דרום
15003979,תחנת בני ברק,מרחב דן,תל אביב
15004488,תחנת אריאל,מרחב שומרון,"ש""י"
15005224,תחנת נשר,מרחב כרמל,חוף
