סוג ועדה,שם הוועדה,סמל הוועדה
מקומית,ירושלים,101
מקומית,בית שמש,102
מקומית,מטה יהודה,151
מרחבית,הראל,152
מחוזית,מחוזית - מחוז ירושלים,199
מרחבית,חבל אשר,201
מקומית,עמק המעיינות,202
מקומית,בית שאן,203
מקומית,הגלבוע,204
מקומית,משגב,205
מקומית,הגליל התחתון,206
מקומית,טבריה,207
מקומית,כרמיאל,208
מקומית,מרום הגליל,209
מקומית,נהרייה,210
מקומית,נצרת,211
מקומית,נוף הגליל,212
מקומית,עכו,213
מקומית,עמק הירדן,214
מקומית,עפולה,215
מקומית,צפת,216
מקומית,קריית שמונה,217
מקומית,גולן,219
מקומית,קצרין,220
מקומית,מגדל העמק,221
מקומית,יקנעם עילית,222
מקומית,מעלות תרשיחא,223
מרחבית,הגליל המזרחי,251
מרחבית,הגליל המרכזי,252
מרחבית,הגליל העליון,253
מרחבית,יזרעאלים,254
מרחבית,מעלה הגליל,255
מרחבית,מעלה חרמון,256
מרחבית,מבוא העמקים,257
מרחבית,מעלה נפתלי,258
מרחבית,אצבע הגליל,259
מרחבית,בקעת בית הכרם,260
מרחבית,גבעות אלונים,261
מרחבית,לב הגליל,262
מרחבית,שפלת הגליל,263
מחוזית,מחוזית - מחוז הצפון,299
מקומית,זבולון,301
מקומית,חדרה,302
מקומית,חוף הכרמל,303
מקומית,חיפה,304
מקומית,קריית אתא,305
מקומית,קריית טבעון,306
מקומית,חריש,307
מקומית,פרדס חנה כרכור,308
מרחבית,מנשה-אלונה,351
מרחבית,קריות,352
מרחבית,יישובי הברון,353
מרחבית,עירון,354
מרחבית,מורדות הכרמל,355
מרחבית,רכס הכרמל,356
מחוזית,מחוזית - מחוז חיפה,399
מקומית,חוף השרון,401
מקומית,טייבה,402
מקומית,טירה,403
מקומית,יבנה,404
מקומית,כפר סבא,405
מקומית,לוד,406
מקומית,נס ציונה,407
מקומית,נתניה,408
מקומית,עמק חפר,409
מקומית,פתח תקווה,410
מקומית,יהוד-נווה אפרים,411
מקומית,לב השרון,412
מקומית,ראשון לציון,413
מקומית,רחובות,414
מקומית,רמלה,415
מקומית,רעננה,416
מקומית,דרום השרון,417
מקומית,ראש העין,418
מקומית,מודיעין מכבים רעות,420
מקומית,שוהם,421
מקומית,אלעד,422
מקומית,הוד השרון,423
מקומית,חבל מודיעין,424
מקומית,שדות דן,425
מקומית,גזר,426
מקומית,גבעת שמואל,427
מקומית,גני תקווה,428
מקומית,גן יבנה,429
מקומית,כפר יונה,430
מקומית,גדרה,431
מרחבית,קסם,451
מרחבית,זמורה,453
מרחבית,מצפה אפק,455
מרחבית,שורקות,456
מרחבית,שרונים,457
מרחבית,מזרח השרון,458
מחוזית,מחוזית - מחוז המרכז,499
מקומית,בני ברק,501
מקומית,בת ים,502
מקומית,גבעתיים,503
מרחבית,הרצלייה,504
מקומית,חולון,505
מקומית,רמת גן,506
מקומית,תל אביב-יפו,507
מקומית,קריית אונו,508
מקומית,אזור,509
מקומית,אור יהודה,510
מרחבית,רמת השרון,553
מחוזית,מחוזית - מחוז תל אביב,599
מקומית,אופקים,601
מקומית,אילת,602
מקומית,אשדוד,603
מקומית,אשקלון,604
מקומית,באר שבע,605
מקומית,קריית גת,606
מקומית,דימונה,607
מקומית,חבל אילות,608
מקומית,נתיבות,609
מקומית,ערד,610
מקומית,שדרות,611
מקומית,ירוחם,612
מקומית,מצפה רמון,613
מקומית,עומר,614
מקומית,מיתר,615
מקומית,באר טוביה,616
מקומית,קריית מלאכי,617
מקומית,רהט,618
מקומית,להבים,619
מקומית,רמת הנגב,620
מקומית,נאות חובב,621
מרחבית,אבו בסמה,624
מקומית,בני שמעון,625
מקומית,שפיר,631
מקומית,יואב,632
מקומית,חוף אשקלון,633
מקומית,לכיש,634
מרחבית,נגב מערבי,651
מרחבית,נגב מזרחי,652
מקומית,תמר,656
מקומית,ערבה תיכונה,657
מחוזית,מחוזית - מחוז הדרום,699
מקומית,אריאל,701
מקומית,אלקנה,702
מקומית,אלפי מנשה,703
מקומית,אפרתה,704
מקומית,גבעת זאב,705
מקומית,מעלה אדומים,706
מקומית,מעלה אפרים,707
מקומית,עמנואל,708
מקומית,קריית ארבע,709
מקומית,שומרון,710
מקומית,מטה בנימין,711
מקומית,ערבות הירדן,712
מקומית,מגילות,713
מקומית,גוש עציון,714
מקומית,הר חברון,715
מקומית,ביתר עילית,716
מקומית,קרני שומרון,717
מקומית,אורנית,718
מקומית,בית אריה,719
מקומית,הר אדר,720
מקומית,קדומים,721
מקומית,בית אל,722
מקומית,מודיעין עילית,730
מחוזית,מחוזית - אזור יהודה ושומרון ,799
אין נתונים,אין נתונים,100
