name_of_settlements,id,Foundation_year
אבו ג'ווייעד (שבט),967,
אבו גוש,472,
אבו סנאן,473,
אבו סריחאן (שבט),935,
אבו עבדון (שבט),958,
אבו עמאר (שבט),1042,
אבו עמרה (שבט),932,
אבו קורינאת (יישוב),1342,
אבו קורינאת (שבט),968,
אבו רובייעה (שבט),966,
אבו רוקייק (שבט),961,
אבו תלול,1375,
אבטין,652,
אבטליון,1275,1987
אביאל,679,1949
אביבים,1115,1960
אביגדור,819,1950
אביחיל,175,1932
אביטל,2052,1953
אביעזר,1070,1958
אבירים,1220,1980
אבן יהודה,182,1932
אבן מנחם,1081,1960
אבן ספיר,783,1950
אבן שמואל,400,1956
אבני איתן,4011,1978
אבני חפץ,3793,1990
אבנת,3786,1983
אבשלום,1311,1990
אדורה,3759,1984
אדירים,113,1956
אדמית,1068,1958
אדרת,1123,1961
אודים,446,1948
אודם,4010,1976
אוהד,1046,1969
אום אל-פחם,2710,
אום אל-קוטוף,2024,
אום בטין,1358,
אומן,1108,1958
אומץ,680,1949
אופקים,31,1955
אור הגנוז,1294,1989
אור הנר,67,1957
אור יהודה,2400,1950
אור עקיבא,1020,1951
אורה,780,1950
אורון,1771,
אורות,2012,1952
אורטל,4013,1978
אורים,403,1946
אורנים,882,1951
אורנית,3760,1985
אושה,278,1937
אזור,565,1948
"אזור אילון מ""א 4",1852,
"אזור אילון מ""א 52",1851,
"אזור אילון של""ש",1853,
"אזור אשדוד מ""א 29",1922,
"אזור אשדוד מ""א 33",1921,
"אזור אשדוד של""ש",1923,
"אזור אשקלון מ""א 36",1924,
"אזור אשקלון מ""א 37",1926,
"אזור באר שבע מ""א 41",1937,
"אזור באר שבע מ""א 51",1938,
"אזור באר שבע של""ש",1939,
"אזור בשור מ""א 38",1933,
"אזור בשור מ""א 39",1935,
"אזור בשור מ""א 42",1934,
"אזור גלילות מ""א 19",1907,
"אזור גרר מ""א 39",1931,
"אזור גרר מ""א 41",1929,
"אזור גרר מ""א 42",1930,
"אזור זכרון יעקב מ""א 15",1866,
"אזור זכרון יעקב של""ש",1867,
"אזור חדרה מ""א 14",1873,
"אזור חדרה מ""א 15",1872,
"אזור חדרה מ""א 45",1871,
"אזור חדרה של""ש",1874,
"אזור חולון של""ש",1909,
"אזור חיפה מ""א 12",1860,
"אזור חיפה של""ש",1862,
"אזור חצור מ""א 1",1813,
"אזור חצור מ""א 55",1814,
"אזור חצור של""ש",1815,
"אזור יחיעם מ""א 2",1848,
"אזור יחיעם מ""א 4",1846,
"אזור יחיעם מ""א 52",1847,
"אזור יחיעם מ""א 56",1849,
"אזור יחיעם של""ש",1850,
